timestamp,download,upload,ping,server_lat,server_lon,server_name,server_country,server_sponsor,server_id,server_latency,share_url,client_lat,client_lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-06T17:08:08.546248Z,163272441.62834617,113227935.35348205,27.456,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,27.456,http://www.speedtest.net/result/17459624601.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-14,-31,10,8,-320,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,30,-11,647424,78,12,1
2025-03-06T17:13:36.805775Z,320187232.80921614,118625436.05328467,34.594,64.0150,11.4953,Steinkjer,Norway,NTE Telekom A/S,19080,34.594,http://www.speedtest.net/result/17459646547.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-33,12,6,-40,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T17:19:03.210849Z,212144201.98677656,102215606.14521736,34.55,62.3908,17.3069,Sundsvall,Sweden,Bahnhof AB,34608,34.55,http://www.speedtest.net/result/17459667825.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-66,-13,-32,12,11,-60,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T17:24:30.352975Z,289288060.4031017,102420580.61415157,29.92,60.3894,5.3300,Bergen,Norway,Sikt - Uninett,64687,29.92,http://www.speedtest.net/result/17459689412.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-33,10,8,10,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T17:35:08.594668Z,254283912.38246006,90356409.00047205,34.614,59.9494,10.7564,Oslo,Norway,Telenor Norge AS,12919,34.614,http://www.speedtest.net/result/17459729603.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-32,10,9,-10,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T17:40:36.390135Z,370917899.52532786,75909153.64868523,26.921,59.9494,10.7564,Oslo,Norway,Iver Norge AS,18316,26.921,http://www.speedtest.net/result/17459750374.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-14,-32,9,7,-30,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,30,-11,647424,78,12,1
2025-03-06T17:46:02.396805Z,239403513.11601743,98056563.74617608,25.253,59.9494,10.7564,Oslo,Norway,NextGenTel AS,8018,25.253,http://www.speedtest.net/result/17459771797.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-68,-14,-32,9,7,-320,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,31,-11,647424,78,12,1
2025-03-06T17:51:28.807163Z,285499195.0059083,102369753.59897353,30.248,60.3894,5.3300,Bergen,Norway,Sikt - Uninett,64687,30.248,http://www.speedtest.net/result/17459792895.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-34,11,10,0,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,30,-11,647424,78,12,1
2025-03-06T17:57:05.569273Z,294931525.66526586,107953513.58035593,29.916,59.9494,10.7564,Oslo,Norway,Telenor Norge AS,12919,29.916,http://www.speedtest.net/result/17459812979.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-14,-33,10,9,30,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,30,-11,647424,78,12,1
2025-03-06T18:02:33.000920Z,234368891.3906135,97908019.59994349,25.25,59.9494,10.7564,Oslo,Norway,NextGenTel AS,8018,25.25,http://www.speedtest.net/result/17459834106.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-66,-12,-34,10,9,-50,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,30,-11,647424,78,12,1
